name,brand,rating_count,total_reviews,rating_value,price,seller_name,seller_location,seller_store_link
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display, Assorted Color) Superb Condition, Like New",NOKIA,100,16 Reviews,2.8,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Nokia 1600 (Single Sim, 1.4 Inches Display, Assorted Color) - Superb Condition, Like New",NOKIA,25,3 Reviews,2.9,1849,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"Kechaoda K115 (Dual Sim, 1.44 Inch Display, 800 Mah Battery, Pink)",Kechaoda,33,8 Reviews,3.9,1100,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display, Assorted Color) Superb Condition, Like New",NOKIA,43,17 Reviews,2.7,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
MTR Farari Car Shaped Flap Dual Sim  1.77 Inches(4.49 Cm) Feature Phone(Blue Color),MTR,48,5 Reviews,4,1280,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) Nokia 105 - Superb Condition, Like New",NOKIA,110,7 Reviews,3.1,1849,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Nokia 1600 (Single Sim, 1.4 Inches Display, Assorted Color) - Superb Condition, Like New",NOKIA,34,5 Reviews,3.2,1849,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display) Superb Condition, Like New",NOKIA,71,7 Reviews,3.1,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
Refurbished Apple iPhone 6s,Apple,16,3 Reviews,2.9,9999,S V COLLECTIONS,"Hyderabad , Telangana",http://s-v-collections-1.shopclues.com
Pear P312 1.8 inches (4.57 cm) Dual Sim Feature Phone,Pear,322,69 Reviews,3.1,629,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display, Assorted Color) Superb Condition, Like New",NOKIA,81,7 Reviews,3.2,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Nokia 1110i (Single Sim, 1.2 inches Display, Assorted Color) - Superb Condition, Like New",NOKIA,158,17 Reviews,3.4,1449,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Samsung 1200 (Single SIM, 1.5 Inch Display, Black) - Superb Condition, Like New",Samsung,42,5 Reviews,2.9,1449,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display) -  Superb Condition, Like New",NOKIA,16,1 Review,3.4,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"MTR MT312 (Dual Sim, 1.8 Inch Display, 800 Mah Battery)",MTR,279,99 Reviews,3.2,789,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
MTR 312 Dual Sim Blue 1.8 inch Feature Phone,MTR,1410,348 Reviews,3.3,669,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
MTR MT312 Dual Sim Feature Phone,MTR,4290,994 Reviews,3.3,649,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) OnePlus 3T (64 GB, 6 GB RAM)",Oneplus,6,1 Review,3.5,8888,S V COLLECTIONS,"Hyderabad , Telangana",http://s-v-collections-1.shopclues.com
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display) -  Superb Condition, Like New",NOKIA,14,5 Reviews,2.6,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display, Assorted Color) Superb Condition, Like New",NOKIA,40,4 Reviews,3.4,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display, Assorted Color) Superb Condition, Like New",NOKIA,13,2 Reviews,2.6,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Samsung Guru 1200s (Single Sim, 1.5 inches Display) Superb Condition, Like New",Samsung,8,2 Reviews,3.1,1449,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"(Refurbished) Nokia 105 (Single Sim, 1.8 inches Display) _Superb Condition, Like New",NOKIA,14,1 Review,3.8,1249,Super Clone 44,"Gurgaon , Haryana",http://super-clone-44.shopclues.com
Pear P310 Dual Sim Feature Phone,Pear,1272,122 Reviews,3.2,629,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display, Assorted Color) Superb Condition, Like New",NOKIA,72,4 Reviews,3.2,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
MTR 312 DUAL SIM MOBILE PHONE,MTR,54,6 Reviews,2.8,789,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
"(Refurbished) Nokia 1616 (Single Sim, 1.8 inches Display, Assorted Color) Superb Condition, Like New",NOKIA,51,7 Reviews,3.2,1399,DIGIBUFF INDIA,"Gurgaon , Haryana",http://digibuff-india.shopclues.com
"Pear P312 Dual Sim, 1.8 Inch Feature Phone (White)",Pear,185,36 Reviews,3.2,629,INFINITY SELLERS,"Delhi , Delhi",http://infinity-sellers.shopclues.com
